iter	Passed	Remaining
0	1	1205
1	3	1919
2	5	1943
3	8	2038
4	10	2096
5	11	1979
6	13	1888
7	15	1881
8	16	1846
9	19	1933
10	21	1948
11	23	1911
12	24	1875
13	26	1844
14	28	1839
15	29	1821
16	31	1815
17	32	1780
18	35	1828
19	37	1822
20	37	1763
21	39	1761
22	41	1747
23	42	1733
24	43	1695
25	44	1669
26	46	1658
27	47	1651
28	50	1696
29	51	1678
30	53	1670
31	54	1637
32	55	1629
33	57	1624
34	58	1618
35	60	1610
36	61	1606
37	62	1580
38	65	1621
39	67	1619
40	69	1615
41	70	1609
42	72	1611
43	73	1591
44	74	1586
45	76	1580
46	77	1577
47	79	1576
48	84	1647
49	86	1643
50	88	1638
51	90	1643
52	91	1638
53	92	1626
54	94	1615
55	99	1678
56	100	1662
57	102	1659
58	102	1636
59	104	1632
60	105	1621
61	106	1615
62	107	1598
63	109	1597
64	110	1593
65	111	1580
66	114	1592
67	115	1582
68	116	1569
69	117	1562
70	118	1555
71	119	1540
72	120	1533
73	122	1530
74	123	1521
75	124	1509
76	126	1511
77	129	1526
78	130	1523
79	132	1520
80	133	1516
81	135	1513
82	137	1514
83	138	1506
84	139	1503
85	141	1501
86	144	1515
87	145	1512
88	147	1509
89	148	1506
90	150	1502
91	151	1499
92	153	1496
93	154	1486
94	156	1487
95	159	1506
96	161	1503
97	162	1500
98	164	1496
99	165	1493
100	167	1490
101	168	1487
102	170	1486
103	172	1483
104	174	1487
105	176	1488
106	177	1477
107	178	1473
108	179	1469
109	181	1467
110	182	1463
111	183	1454
112	185	1455
113	186	1452
114	188	1449
115	195	1486
116	196	1485
117	198	1480
118	199	1476
119	200	1471
120	201	1467
121	203	1463
122	205	1463
123	207	1463
124	209	1466
125	210	1462
126	211	1453
127	213	1452
128	214	1449
129	215	1445
130	216	1436
131	218	1435
132	219	1433
133	222	1434
134	223	1432
135	224	1429
136	226	1425
137	227	1422
138	229	1419
139	230	1417
140	232	1416
141	233	1409
142	236	1418
143	238	1415
144	239	1411
145	240	1408
146	242	1404
147	243	1401
148	245	1399
149	246	1396
150	248	1398
151	250	1395
152	251	1392
153	252	1389
154	254	1388
155	256	1385
156	257	1382
157	258	1379
158	260	1375
159	261	1373
160	263	1371
161	266	1379
162	268	1377
163	269	1374
164	270	1370
165	272	1369
166	274	1366
167	274	1360
168	276	1360
169	278	1359
170	280	1358
171	283	1362
172	284	1361
173	287	1362
174	288	1359
175	289	1356
176	291	1353
177	291	1347
178	292	1342
179	294	1341
180	296	1340
181	299	1346
182	300	1343
183	301	1337
184	302	1334
185	304	1331
186	305	1328
187	306	1325
188	308	1323
189	310	1322
190	314	1330
191	315	1327
192	316	1325
193	317	1319
194	318	1316
195	320	1315
196	321	1312
197	323	1309
198	325	1308
199	326	1305
200	330	1313
201	331	1310
202	333	1307
203	333	1301
204	333	1295
205	335	1292
206	336	1289
207	337	1286
208	339	1283
209	340	1281
210	342	1281
211	345	1283
212	346	1281
213	348	1278
214	349	1275
215	351	1274
216	352	1272
217	354	1270
218	354	1265
219	356	1263
220	357	1261
221	360	1261
222	361	1259
223	363	1258
224	364	1256
225	366	1253
226	367	1250
227	368	1248
228	369	1245
229	371	1245
230	373	1242
231	375	1244
232	377	1242
233	379	1242
234	381	1240
235	382	1238
236	383	1235
237	385	1233
238	386	1231
239	387	1228
240	389	1227
241	391	1225
242	393	1225
243	395	1224
244	395	1219
245	396	1216
246	398	1214
247	399	1211
248	400	1207
249	401	1205
250	403	1202
251	404	1200
252	408	1206
253	409	1202
254	410	1200
255	412	1197
256	413	1195
257	414	1192
258	416	1190
259	417	1188
260	419	1186
261	421	1186
262	423	1187
263	425	1184
264	426	1182
265	427	1180
266	429	1178
267	430	1175
268	431	1173
269	433	1170
270	434	1169
271	436	1167
272	439	1171
273	441	1168
274	442	1166
275	443	1162
276	443	1158
277	445	1156
278	446	1153
279	447	1151
280	449	1149
281	450	1147
282	452	1146
283	455	1147
284	456	1145
285	457	1142
286	459	1140
287	460	1138
288	462	1137
289	463	1135
290	465	1133
291	467	1132
292	470	1134
293	472	1135
294	474	1133
295	475	1131
296	477	1129
297	478	1127
298	480	1125
299	481	1124
300	484	1124
301	486	1123
302	487	1121
303	488	1119
304	490	1116
305	490	1112
306	492	1110
307	493	1108
308	494	1106
309	496	1104
310	498	1104
311	500	1104
312	502	1102
313	503	1101
314	505	1099
315	506	1096
316	508	1094
317	509	1092
318	511	1090
319	512	1088
320	516	1091
321	517	1089
322	518	1087
323	520	1085
324	521	1083
325	522	1081
326	524	1078
327	525	1077
328	527	1075
329	529	1074
330	531	1074
331	533	1072
332	534	1070
333	536	1069
334	537	1067
335	538	1065
336	540	1062
337	541	1060
338	543	1059
339	544	1057
340	546	1056
341	548	1055
342	549	1053
343	551	1051
344	552	1049
345	553	1047
346	555	1045
347	556	1042
348	558	1041
349	559	1039
350	566	1047
351	568	1045
352	569	1044
353	571	1042
354	572	1040
355	573	1037
356	574	1035
357	576	1033
358	579	1034
359	580	1032
360	582	1030
361	582	1026
362	583	1024
363	584	1022
364	586	1019
365	587	1017
366	588	1015
367	590	1014
368	592	1013
369	595	1013
370	596	1011
371	598	1009
372	599	1007
373	600	1004
374	602	1003
375	603	1001
376	604	999
377	606	998
378	608	996
379	610	996
380	611	993
381	613	992
382	614	990
383	615	988
384	617	986
385	618	984
386	619	982
387	621	980
388	623	978
389	626	980
390	627	977
391	629	975
392	630	973
393	631	971
394	632	968
395	633	966
396	635	965
397	637	963
398	638	961
399	640	960
400	642	960
401	644	958
402	644	955
403	646	953
404	647	951
405	649	949
406	650	947
407	650	944
408	652	942
409	653	940
410	655	939
411	658	940
412	660	938
413	662	937
414	663	935
415	665	933
416	666	931
417	668	930
418	669	928
419	671	927
420	674	927
421	675	925
422	677	923
423	678	922
424	680	920
425	681	918
426	682	916
427	684	914
428	685	912
429	689	914
430	690	912
431	691	909
432	692	907
433	694	905
434	695	903
435	696	901
436	698	899
437	699	897
438	699	894
439	701	892
440	705	894
441	706	892
442	708	890
443	709	888
444	710	886
445	712	884
446	713	882
447	714	880
448	716	879
449	717	877
450	721	878
451	723	876
452	724	874
453	725	872
454	727	870
455	728	869
456	729	867
457	730	864
458	732	862
459	733	861
460	735	859
461	737	859
462	739	857
463	740	855
464	741	853
465	742	851
466	744	849
467	745	847
468	746	844
469	747	843
470	748	840
471	750	839
472	753	839
473	755	838
474	757	836
475	758	834
476	759	832
477	761	831
478	762	829
479	763	827
480	765	825
481	766	824
482	772	826
483	774	825
484	774	822
485	776	820
486	777	818
487	779	817
488	780	815
489	782	814
490	785	814
491	787	812
492	788	810
493	789	809
494	790	806
495	791	804
496	792	802
497	793	799
498	794	797
499	796	796
500	797	794
501	800	794
502	802	792
503	803	790
504	804	788
505	806	786
506	807	785
507	808	783
508	809	781
509	810	778
510	812	777
511	814	775
512	815	774
513	817	772
514	818	770
515	819	768
516	821	767
517	822	765
518	823	763
519	824	761
520	826	759
521	828	758
522	830	757
523	832	756
524	833	754
525	835	752
526	836	750
527	837	748
528	839	747
529	840	745
530	842	743
531	843	742
532	847	742
533	848	740
534	849	738
535	850	736
536	852	734
537	853	732
538	855	731
539	856	729
540	858	728
541	859	726
542	861	725
543	863	723
544	864	721
545	865	719
546	867	718
547	868	716
548	870	714
549	870	712
550	875	713
551	876	711
552	877	709
553	879	707
554	879	705
555	881	703
556	882	702
557	883	699
558	884	697
559	886	696
560	887	694
561	890	693
562	891	692
563	893	690
564	894	689
565	896	687
566	897	685
567	898	683
568	900	682
569	901	680
570	903	678
571	906	678
572	907	676
573	908	674
574	909	672
575	910	670
576	911	668
577	913	666
578	914	664
579	916	663
580	917	661
581	919	660
582	921	659
583	923	657
584	924	655
585	925	653
586	927	652
587	928	650
588	929	648
589	930	646
590	931	644
591	933	643
592	937	643
593	939	642
594	940	640
595	942	638
596	943	636
597	944	635
598	946	633
599	947	631
600	949	630
601	951	628
602	953	627
603	955	626
604	957	625
605	958	623
606	960	621
607	961	619
608	962	618
609	964	616
610	965	614
611	967	613
612	970	612
613	971	610
614	973	609
615	974	607
616	975	605
617	976	603
618	977	601
619	979	600
620	980	598
621	982	597
622	985	596
623	985	594
624	987	592
625	988	590
626	989	588
627	991	587
628	992	585
629	994	583
630	995	582
631	996	580
632	998	578
633	1001	578
634	1002	576
635	1004	574
636	1005	573
637	1007	571
638	1008	569
639	1009	567
640	1011	566
641	1012	564
642	1014	563
643	1017	562
644	1018	560
645	1020	559
646	1021	557
647	1023	555
648	1024	554
649	1026	552
650	1028	551
651	1029	549
652	1032	548
653	1034	547
654	1035	545
655	1037	543
656	1038	542
657	1039	540
658	1040	538
659	1041	536
660	1043	535
661	1045	533
662	1049	533
663	1051	532
664	1053	530
665	1054	528
666	1056	527
667	1057	525
668	1059	524
669	1060	522
670	1065	522
671	1066	520
672	1067	518
673	1068	516
674	1069	515
675	1071	513
676	1072	511
677	1073	509
678	1075	508
679	1077	506
680	1079	505
681	1081	504
682	1082	502
683	1083	500
684	1084	498
685	1086	497
686	1086	495
687	1088	493
688	1089	491
689	1091	490
690	1092	488
691	1095	487
692	1096	485
693	1097	483
694	1098	482
695	1100	480
696	1101	478
697	1103	477
698	1104	475
699	1105	473
700	1107	472
701	1109	470
702	1111	469
703	1113	468
704	1114	466
705	1115	464
706	1116	462
707	1117	460
708	1118	459
709	1120	457
710	1121	455
711	1123	454
712	1127	453
713	1128	452
714	1130	450
715	1131	448
716	1133	447
717	1134	445
718	1136	444
719	1137	442
720	1139	440
721	1142	439
722	1144	438
723	1146	437
724	1147	435
725	1149	433
726	1150	432
727	1151	430
728	1153	428
729	1155	427
730	1160	426
731	1161	425
732	1162	423
733	1164	421
734	1165	420
735	1166	418
736	1168	416
737	1170	415
738	1172	414
739	1175	412
740	1176	411
741	1177	409
742	1178	407
743	1179	405
744	1180	404
745	1182	402
746	1183	400
747	1185	399
748	1186	397
749	1188	396
750	1191	394
751	1192	393
752	1193	391
753	1195	389
754	1196	388
755	1197	386
756	1199	384
757	1199	383
758	1201	381
759	1203	379
760	1206	378
761	1207	377
762	1209	375
763	1210	373
764	1211	372
765	1213	370
766	1214	368
767	1215	367
768	1217	365
769	1219	364
770	1221	362
771	1222	361
